date,city,country,avg_temp_c
00/01/01,Abidjan,Côte D'Ivoire,27.293
00/02/01,Abidjan,Côte D'Ivoire,27.685
00/03/01,Abidjan,Côte D'Ivoire,29.061
00/04/01,Abidjan,Côte D'Ivoire,28.162
00/05/01,Abidjan,Côte D'Ivoire,27.547
00/06/01,Abidjan,Côte D'Ivoire,25.812
00/07/01,Abidjan,Côte D'Ivoire,24.87
00/08/01,Abidjan,Côte D'Ivoire,24.884
00/09/01,Abidjan,Côte D'Ivoire,25.405
00/10/01,Abidjan,Côte D'Ivoire,26.074
00/11/01,Abidjan,Côte D'Ivoire,27.315
00/12/01,Abidjan,Côte D'Ivoire,26.929
01/01/01,Abidjan,Côte D'Ivoire,26.92
01/02/01,Abidjan,Côte D'Ivoire,28.234
01/03/01,Abidjan,Côte D'Ivoire,28.706
01/04/01,Abidjan,Côte D'Ivoire,27.702
01/05/01,Abidjan,Côte D'Ivoire,27.653
01/06/01,Abidjan,Côte D'Ivoire,25.94
01/07/01,Abidjan,Côte D'Ivoire,24.841
01/08/01,Abidjan,Côte D'Ivoire,24.28
01/09/01,Abidjan,Côte D'Ivoire,24.797
01/10/01,Abidjan,Côte D'Ivoire,26.278
01/11/01,Abidjan,Côte D'Ivoire,27.374
01/12/01,Abidjan,Côte D'Ivoire,27.598
02/01/01,Abidjan,Côte D'Ivoire,27.192
02/02/01,Abidjan,Côte D'Ivoire,28.796
02/03/01,Abidjan,Côte D'Ivoire,28.564
02/04/01,Abidjan,Côte D'Ivoire,28.508
02/05/01,Abidjan,Côte D'Ivoire,27.721
02/06/01,Abidjan,Côte D'Ivoire,25.972
02/07/01,Abidjan,Côte D'Ivoire,25.054
02/08/01,Abidjan,Côte D'Ivoire,24.58
02/09/01,Abidjan,Côte D'Ivoire,25.26
02/10/01,Abidjan,Côte D'Ivoire,26.076
02/11/01,Abidjan,Côte D'Ivoire,27.282
02/12/01,Abidjan,Côte D'Ivoire,27.087
03/01/01,Abidjan,Côte D'Ivoire,27.59
03/02/01,Abidjan,Côte D'Ivoire,28.863
03/03/01,Abidjan,Côte D'Ivoire,28.98
03/04/01,Abidjan,Côte D'Ivoire,28.169
03/05/01,Abidjan,Côte D'Ivoire,27.91
03/06/01,Abidjan,Côte D'Ivoire,25.993
03/07/01,Abidjan,Côte D'Ivoire,25.221
03/08/01,Abidjan,Côte D'Ivoire,24.88
03/09/01,Abidjan,Côte D'Ivoire,25.737
03/10/01,Abidjan,Côte D'Ivoire,26.694
03/11/01,Abidjan,Côte D'Ivoire,27.479
03/12/01,Abidjan,Côte D'Ivoire,27.092
04/01/01,Abidjan,Côte D'Ivoire,27.728
04/02/01,Abidjan,Côte D'Ivoire,28.705
04/03/01,Abidjan,Côte D'Ivoire,29.288
04/04/01,Abidjan,Côte D'Ivoire,28.152
04/05/01,Abidjan,Côte D'Ivoire,27.302
04/06/01,Abidjan,Côte D'Ivoire,25.712
04/07/01,Abidjan,Côte D'Ivoire,24.968
04/08/01,Abidjan,Côte D'Ivoire,24.656
04/09/01,Abidjan,Côte D'Ivoire,25.81
04/10/01,Abidjan,Côte D'Ivoire,26.438
04/11/01,Abidjan,Côte D'Ivoire,27.164
04/12/01,Abidjan,Côte D'Ivoire,27.909
05/01/01,Abidjan,Côte D'Ivoire,26.715
05/02/01,Abidjan,Côte D'Ivoire,29.405
05/03/01,Abidjan,Côte D'Ivoire,29.246
05/04/01,Abidjan,Côte D'Ivoire,28.508
05/05/01,Abidjan,Côte D'Ivoire,27.416
05/06/01,Abidjan,Côte D'Ivoire,25.772
05/07/01,Abidjan,Côte D'Ivoire,24.997
05/08/01,Abidjan,Côte D'Ivoire,24.443
05/09/01,Abidjan,Côte D'Ivoire,25.804
05/10/01,Abidjan,Côte D'Ivoire,26.47
05/11/01,Abidjan,Côte D'Ivoire,27.569
05/12/01,Abidjan,Côte D'Ivoire,27.374
06/01/01,Abidjan,Côte D'Ivoire,27.596
06/02/01,Abidjan,Côte D'Ivoire,28.352
06/03/01,Abidjan,Côte D'Ivoire,28.431
06/04/01,Abidjan,Côte D'Ivoire,28.708
06/05/01,Abidjan,Côte D'Ivoire,27.009
06/06/01,Abidjan,Côte D'Ivoire,26.588
06/07/01,Abidjan,Côte D'Ivoire,25.483
06/08/01,Abidjan,Côte D'Ivoire,25.114
06/09/01,Abidjan,Côte D'Ivoire,25.408
06/10/01,Abidjan,Côte D'Ivoire,26.396
06/11/01,Abidjan,Côte D'Ivoire,27.375
06/12/01,Abidjan,Côte D'Ivoire,27.397
07/01/01,Abidjan,Côte D'Ivoire,27.12
07/02/01,Abidjan,Côte D'Ivoire,28.986
07/03/01,Abidjan,Côte D'Ivoire,29.106
07/04/01,Abidjan,Côte D'Ivoire,28.334
